permit_id,issued_date,property_type,sqft,est_annual_kwh,permit_class
2020-034251 BP,2020-02-27,single_family,2767,17930,Residential
2020-033779 BP,2020-02-27,single_family,1919,12435,Residential
2020-032701 BP,2020-02-26,single_family,3840,24883,Residential
2020-026196 BP,2020-02-26,adu_accessory,1248,11157,Residential
2020-033107 BP,2020-02-26,single_family,2052,13297,Residential
2020-033539 BP,2020-02-26,single_family,4109,26626,Residential
2020-032875 BP,2020-02-26,education,1536,16100,Commercial
2020-033143 BP,2020-02-26,single_family,2353,15247,Residential
2020-032874 BP,2020-02-26,education,1536,16100,Commercial
2020-032876 BP,2020-02-26,education,1536,16100,Commercial
2020-032780 BP,2020-02-25,single_family,2390,15487,Residential
2020-031079 BP,2020-02-25,single_family,2537,16440,Residential
2020-024305 BP,2020-02-25,single_family,2514,16291,Residential
2020-033167 BP,2020-02-25,single_family,3580,23198,Residential
2020-030188 BP,2020-02-25,single_family,1692,10964,Residential
2020-024243 BP,2020-02-25,single_family,2767,17930,Residential
2020-015724 BP,2020-02-25,single_family,2656,17211,Residential
2020-015699 BP,2020-02-25,single_family,2656,17211,Residential
2020-015711 BP,2020-02-25,single_family,2656,17211,Residential
2020-030190 BP,2020-02-25,single_family,1866,12092,Residential
2020-015659 BP,2020-02-25,single_family,2514,16291,Residential
2020-032729 BP,2020-02-25,single_family,4831,31305,Residential
2020-032601 BP,2020-02-25,single_family,2577,16699,Residential
2020-024282 BP,2020-02-25,single_family,2514,16291,Residential
2020-024266 BP,2020-02-25,single_family,2656,17211,Residential
2020-033181 BP,2020-02-25,single_family,3081,19965,Residential
2020-024274 BP,2020-02-25,single_family,2514,16291,Residential
2020-030189 BP,2020-02-25,single_family,2052,13297,Residential
2020-024255 BP,2020-02-25,single_family,2767,17930,Residential
2020-021496 BP,2020-02-25,single_family,2656,17211,Residential
2020-021481 BP,2020-02-25,single_family,2767,17930,Residential
2020-033198 BP,2020-02-25,single_family,3954,25622,Residential
2020-024221 BP,2020-02-25,single_family,2656,17211,Residential
2020-030187 BP,2020-02-25,single_family,2052,13297,Residential
2020-015650 BP,2020-02-25,single_family,2767,17930,Residential
2020-029648 BP,2020-02-25,single_family,5031,32601,Residential
2020-032763 BP,2020-02-25,single_family,2926,18960,Residential
2020-030193 BP,2020-02-25,single_family,1692,10964,Residential
2020-030192 BP,2020-02-25,single_family,1692,10964,Residential
2020-031084 BP,2020-02-25,single_family,2742,17768,Residential
2020-029735 BP,2020-02-25,single_family,1866,12092,Residential
2020-024235 BP,2020-02-25,single_family,2656,17211,Residential
2020-022467 BP,2020-02-25,single_family,2656,17211,Residential
2020-015644 BP,2020-02-25,single_family,2514,16291,Residential
2020-032654 BP,2020-02-25,single_family,1959,12694,Residential
2020-033155 BP,2020-02-25,single_family,3048,19751,Residential
2020-032637 BP,2020-02-25,single_family,1957,12681,Residential
2020-030141 BP,2020-02-24,single_family,2863,18552,Residential
2020-031070 BP,2020-02-24,single_family,2993,19395,Residential
2020-031006 BP,2020-02-24,single_family,2388,15474,Residential
2020-031154 BP,2020-02-24,single_family,2308,14956,Residential
2020-032610 BP,2020-02-24,single_family,2519,16323,Residential
2020-031118 BP,2020-02-24,single_family,2674,17328,Residential
2020-031052 BP,2020-02-24,single_family,2993,19395,Residential
2020-030361 BP,2020-02-24,parking_garage,9891,12858,Commercial
2020-030753 BP,2020-02-24,single_family,2926,18960,Residential
2020-032721 BP,2020-02-24,single_family,2178,14113,Residential
2020-032773 BP,2020-02-24,single_family,2144,13893,Residential
2020-030739 BP,2020-02-24,office,182250,2853180,Commercial
2020-030856 BP,2020-02-24,single_family,7435,48179,Residential
2020-030763 BP,2020-02-24,single_family,1876,12156,Residential
2020-030362 BP,2020-02-24,multifamily,18848,318545,Commercial
2020-031566 BP,2020-02-24,single_family,1957,12681,Residential
2020-030139 BP,2020-02-24,single_family,2863,18552,Residential
2020-031014 BP,2020-02-24,single_family,2868,18585,Residential
2020-032615 BP,2020-02-24,single_family,3116,20192,Residential
2020-030140 BP,2020-02-24,single_family,3025,19602,Residential
2020-031022 BP,2020-02-24,single_family,2519,16323,Residential
2020-032691 BP,2020-02-24,single_family,3057,19809,Residential
2020-030138 BP,2020-02-24,single_family,2693,17451,Residential
2020-030142 BP,2020-02-24,single_family,2693,17451,Residential
2020-030743 BP,2020-02-24,single_family,2390,15487,Residential
2020-030727 BP,2020-02-24,single_family,2562,16602,Residential
2020-031147 BP,2020-02-24,single_family,2390,15487,Residential
2020-032724 BP,2020-02-24,single_family,2473,16025,Residential
2020-030824 BP,2020-02-24,single_family,2729,17684,Residential
2020-031097 BP,2020-02-24,single_family,2528,16381,Residential
2020-031132 BP,2020-02-24,single_family,2921,18928,Residential
2020-032618 BP,2020-02-24,single_family,3132,20295,Residential
2020-031058 BP,2020-02-24,single_family,2865,18565,Residential
2020-030752 BP,2020-02-24,single_family,2767,17930,Residential
2020-031035 BP,2020-02-24,single_family,2398,15539,Residential
2020-030756 BP,2020-02-24,single_family,1876,12156,Residential
2020-032583 BP,2020-02-24,single_family,2993,19395,Residential
2020-030360 BP,2020-02-24,single_family,2721,17632,Commercial
2020-029773 BP,2020-02-21,single_family,4184,27112,Residential
2020-030183 BP,2020-02-21,single_family,3270,21190,Residential
2020-029883 BP,2020-02-21,adu_accessory,1137,10165,Residential
2020-027482 BP,2020-02-21,single_family,2537,16440,Residential
2020-030132 BP,2020-02-21,single_family,2130,13802,Residential
2020-029904 BP,2020-02-21,single_family,5038,32646,Residential
2020-030178 BP,2020-02-21,single_family,2253,14599,Residential
2020-030181 BP,2020-02-21,single_family,2853,18487,Residential
2020-027492 BP,2020-02-21,single_family,2063,13368,Residential
2020-027488 BP,2020-02-21,single_family,2537,16440,Residential
2020-026770 BP,2020-02-21,single_family,2919,18915,Residential
