plantid,period,avg_mw
3548,2001_01,224.9
3548,2001_02,158.5
3548,2001_03,164.6
3548,2001_04,145.2
3548,2001_05,301.8
3548,2001_06,309.0
3548,2001_07,389.7
3548,2001_08,317.1
3548,2001_09,225.3
3548,2001_10,199.4
3548,2001_11,120.6
3548,2001_12,98.8
3548,2002_01,107.4
3548,2002_02,119.1
3548,2002_03,121.2
3548,2002_04,131.6
3548,2002_05,161.6
3548,2002_06,317.2
3548,2002_07,323.8
3548,2002_08,366.9
3548,2002_09,281.8
3548,2002_10,160.4
3548,2002_11,128.7
3548,2002_12,131.0
3548,2003_01,146.0
3548,2003_02,172.0
3548,2003_03,152.5
3548,2003_04,162.7
3548,2003_05,296.5
3548,2003_06,303.2
3548,2003_07,361.0
3548,2003_08,270.2
3548,2003_09,139.7
3548,2003_10,165.7
3548,2003_11,154.4
3548,2003_12,92.0
3548,2004_01,123.4
3548,2004_02,5.4
3548,2004_03,72.9
3548,2004_04,211.1
3548,2004_05,173.5
3548,2004_06,194.1
3548,2004_07,282.3
3548,2004_08,253.8
3548,2004_09,203.4
3548,2004_10,182.5
3548,2004_11,141.2
3548,2004_12,46.5
3548,2005_01,10.6
3548,2005_02,6.7
3548,2005_03,4.6
3548,2005_04,12.2
3548,2005_05,92.1
3548,2005_06,228.3
3548,2005_07,290.2
3548,2005_08,303.8
3548,2005_09,234.3
3548,2005_10,110.4
3548,2005_11,11.7
3548,2005_12,39.4
3548,2006_01,19.4
3548,2006_02,1.7
3548,2006_03,12.4
3548,2006_04,243.9
3548,2006_05,197.1
3548,2006_06,303.7
3548,2006_07,316.3
3548,2006_08,409.2
3548,2006_09,179.2
3548,2006_10,157.2
3548,2006_11,51.2
3548,2006_12,20.2
3548,2007_01,218.8
3548,2007_02,6.9
3548,2007_03,33.5
3548,2007_04,107.6
3548,2007_05,110.7
3548,2007_06,152.5
3548,2007_07,187.5
3548,2007_08,309.2
3548,2007_09,183.0
3548,2007_10,179.1
3548,2007_11,55.6
3548,2007_12,21.7
3548,2008_01,31.6
3548,2008_02,3.5
3548,2008_03,75.4
3548,2008_04,169.7
3548,2008_05,238.4
3548,2008_06,416.6
3548,2008_07,367.1
3548,2008_08,374.4
3548,2008_09,228.1
3548,2008_10,267.8
3548,2008_11,131.5
3548,2008_12,60.4
3548,2009_01,103.1
3548,2009_02,115.2
3548,2009_03,102.1
3548,2009_04,116.1
3548,2009_05,226.9
3548,2009_06,354.7
3548,2009_07,329.8
