plantid,plant_name,fuel,capacity_mw,latitude,longitude,county,owner,commission_period,retirement_year,avg_output_mw,co2_tons,ae_pct
3548,Decker Creek,gas,206.0,30.3033,-97.6128,,Austin Energy,1988_09,,,450000.0,1.0
55708,Nacogdoches Power,biomass,114.0,31.832132,-94.90064,,Austin Energy,2012_06,,22.8,,1.0
56374,Robert Mueller Energy Center,gas,6.1,30.304994,-97.707675,,Austin Energy,2006_07,,3.1,,1.0
56661,Pattern Gulf Wind,wind,283.2,27.0011,-97.5994,,Pattern Operators LP,2008_12,,69.2,,0.6
56673,Whirlwind Energy Center,wind,59.8,34.105,-101.0986,,Whirlwind Energy LLC,2007_12,,10.6,,1.0
56823,Hackberry Wind Farm,wind,165.6,32.7683,-99.4228,,Hackberry Wind LLC,2008_12,,38.7,,1.0
57659,East Blackland Solar Project 1,solar,144.0,30.4214,-97.4614,,Duke Energy Renewables Services,2021_07,,25.7,,1.0
57699,Webberville Solar Project,solar,30.0,30.238492,-97.508812,,FRV AE Solar LLC,2011_12,,6.4,,1.0
57752,Los Vientos Wind 1B,wind,201.6,26.34892,-97.6668,,Duke Energy Renewables Services,2012_12,,26.7,,1.0
58021,Whitetail,wind,92.0,27.488056,-99.005278,,"Whitetail Wind Energy, LLC",2012_12,,19.2,,1.0
59320,Los Vientos Windpower III,wind,200.0,26.388611,-98.806111,,Duke Energy Renewables Services,2015_04,,45.7,,1.0
59321,Los Vientos Windpower IV,wind,200.0,26.380556,-98.818333,,Duke Energy Renewables Services,2016_07,,45.6,,1.0
59621,TX Jumbo Road Wind,wind,299.7,34.72,-102.253333,,"TX Jumbo Road Wind, LLC",2015_04,,76.4,,1.0
59994,RE Roserock,solar,160.0,30.960209,-103.306662,,Southern Power Co,2016_11,,34.5,,0.98
60436,East Pecos Solar,solar,118.5,31.000883,-102.281744,,Southern Power Co,2017_04,,22.4,,1.0
60581,Upton County Solar,solar,150.0,31.241808,-102.29027,,RWE Clean Energy,2017_12,,27.8,,1.0
61343,Karankawa Wind LLC,wind,307.1,28.170179,-97.817507,,Avangrid Power LLC,2019_11,,78.5,,0.67
61368,Midway Solar - TX,solar,182.0,30.995503,-102.223537,,Midway Solar,2018_12,,28.3,,0.98
6179,Fayette Power Project,coal,1690.0,29.9172,-96.7506,,Lower Colorado River Authority,1979_06,,721.5,12800000.0,0.36
6251,South Texas Project,nuclear,2708.6,28.795,-96.0481,,STP Nuclear Operating Co,1988_08,,1935.2,,0.16
62909,"Raymond Wind Farm, LLC",wind,200.2,26.364153,-97.780439,,RWE Clean Energy,2021_06,,60.1,,1.0
63329,Aragorn Solar Project,solar,187.2,31.719983,-104.442292,,"SE Aragorn, LLC",2021_12,,33.7,,0.96
7900,Sand Hill,gas,696.4,30.2098,-97.6129,,Austin Energy,2001_06,,180.8,,1.0
