plantid,period,avg_mw
9,2001_01,9.6
9,2001_02,32.1
9,2001_03,27.1
9,2001_04,40.8
9,2001_05,20.8
9,2001_06,10.2
9,2001_07,18.9
9,2001_08,7.9
9,2001_09,4.5
9,2001_10,5.6
9,2001_11,0.2
9,2001_12,0.8
9,2002_03,0.1
9,2002_04,3.8
9,2002_06,4.6
9,2002_07,5.4
9,2002_08,11.9
9,2002_09,3.5
9,2002_10,2.4
9,2002_11,1.6
9,2002_12,0.3
9,2003_01,0.0
9,2003_02,0.1
9,2003_03,1.8
9,2003_04,1.2
9,2003_05,0.4
9,2003_06,0.7
9,2003_07,4.1
9,2003_08,5.5
9,2003_09,0.2
9,2003_10,0.4
9,2003_12,0.6
9,2004_01,0.6
9,2004_02,0.7
9,2004_03,0.7
9,2004_04,0.7
9,2004_05,0.7
9,2004_06,0.8
9,2004_07,0.7
9,2004_08,0.7
9,2004_09,0.7
9,2004_10,0.7
9,2004_11,0.6
9,2004_12,0.7
9,2005_05,1.5
9,2005_06,3.3
9,2005_07,7.9
9,2005_08,5.7
9,2005_09,0.2
9,2005_10,0.7
9,2005_12,3.0
9,2006_01,1.1
9,2006_03,1.9
9,2006_04,3.2
9,2006_05,1.1
9,2006_06,3.4
9,2006_07,6.7
9,2006_08,2.8
9,2006_09,0.5
9,2006_10,1.1
9,2006_11,0.1
9,2006_12,0.3
9,2007_01,0.6
9,2007_02,1.0
9,2007_04,0.5
9,2007_05,0.6
9,2007_06,4.5
9,2007_07,6.9
9,2007_08,5.7
9,2007_09,1.7
9,2007_10,0.5
9,2008_01,1.9
9,2008_02,1.7
9,2008_03,1.8
9,2008_04,1.9
9,2008_05,2.2
9,2008_06,2.7
9,2008_07,2.9
9,2008_08,2.8
9,2008_09,2.0
9,2008_10,1.8
9,2008_11,1.4
9,2008_12,1.6
9,2009_01,1.5
9,2009_02,1.4
9,2009_03,1.7
9,2009_04,1.5
9,2009_05,2.0
9,2009_06,2.7
9,2009_07,2.9
9,2009_08,2.9
9,2009_09,2.2
9,2009_10,1.8
9,2009_11,1.4
9,2009_12,1.8
9,2010_01,1.6
9,2010_02,1.6
9,2010_03,1.2
9,2010_04,1.4
9,2010_05,1.7
9,2010_06,2.1
9,2010_07,2.1
9,2010_08,2.5
9,2010_09,1.9
9,2010_10,1.3
9,2010_11,1.3
9,2010_12,1.3
9,2011_01,3.6
9,2011_02,3.6
9,2011_03,3.0
9,2011_04,3.9
9,2011_05,4.1
9,2011_06,5.5
9,2011_07,6.4
9,2011_08,6.9
9,2011_09,5.0
9,2011_10,3.7
9,2011_11,3.5
9,2011_12,4.1
9,2012_01,3.7
9,2012_02,3.7
9,2012_03,3.8
9,2012_04,4.4
9,2012_05,4.6
9,2012_06,5.2
9,2012_07,5.5
9,2012_08,5.7
9,2012_09,4.5
9,2012_10,3.4
9,2012_11,3.2
9,2012_12,3.4
9,2013_01,3.9
9,2013_02,3.4
9,2013_03,3.3
9,2013_04,3.7
9,2013_05,3.9
9,2013_06,4.9
9,2013_07,5.3
9,2013_08,5.9
9,2013_09,5.1
9,2013_10,3.9
9,2013_11,3.9
9,2013_12,4.2
9,2014_01,4.1
9,2014_02,4.0
9,2014_03,3.6
9,2014_04,3.9
9,2014_05,4.1
9,2014_06,5.0
9,2014_07,5.6
9,2014_08,6.3
9,2014_09,5.3
9,2014_10,4.5
9,2014_11,4.0
9,2014_12,4.2
9,2015_01,2.6
9,2015_02,2.6
9,2015_03,2.6
9,2015_04,2.5
9,2015_05,2.6
9,2015_06,3.1
9,2015_07,3.6
9,2015_08,3.7
9,2015_09,3.2
9,2015_10,2.7
9,2015_11,2.4
9,2015_12,2.6
9,2016_01,3.6
9,2016_02,3.4
9,2016_03,3.6
9,2016_04,3.5
9,2016_05,3.8
9,2016_06,4.4
9,2016_07,4.7
9,2016_08,4.9
9,2016_09,4.3
9,2016_10,3.3
9,2016_11,3.0
9,2016_12,2.7
9,2017_01,1.7
9,2017_02,1.7
9,2017_03,1.8
9,2017_04,1.8
9,2017_05,2.0
9,2017_06,2.7
9,2017_07,3.2
9,2017_08,3.0
9,2017_09,2.3
9,2017_10,2.0
9,2017_11,1.7
9,2017_12,2.1
9,2018_01,4.8
9,2018_02,4.8
9,2018_03,4.4
9,2018_04,4.2
9,2018_05,5.5
9,2018_06,6.2
9,2018_07,7.5
9,2018_08,7.0
9,2018_09,6.1
9,2018_10,5.0
9,2018_11,4.4
9,2018_12,4.6
9,2019_01,4.1
9,2019_02,3.7
9,2019_03,3.6
9,2019_04,3.3
9,2019_05,4.4
9,2019_06,5.2
9,2019_07,5.8
9,2019_08,6.2
9,2019_09,5.6
9,2019_10,4.2
9,2019_11,3.9
9,2019_12,4.2
9,2020_01,3.7
9,2020_02,3.7
9,2020_03,3.4
9,2020_04,3.1
9,2020_05,3.6
9,2020_06,4.4
9,2020_07,5.2
9,2020_08,5.1
9,2020_09,4.3
9,2020_10,3.6
9,2020_11,2.9
9,2020_12,3.1
9,2021_04,0.0
9,2021_05,10.8
9,2021_06,9.2
9,2021_07,5.7
9,2021_08,9.0
9,2021_09,3.7
9,2021_12,0.9
9,2022_01,3.2
9,2022_02,3.1
9,2022_03,0.6
9,2022_04,3.9
9,2022_05,9.0
9,2022_06,13.9
9,2022_07,12.8
9,2022_08,8.2
9,2022_09,8.5
9,2022_10,0.9
9,2022_11,0.7
9,2023_01,0.3
9,2023_02,2.0
9,2023_03,4.9
9,2023_04,2.9
9,2023_06,6.2
9,2023_07,18.0
9,2023_08,10.8
9,2023_09,10.4
9,2023_10,7.6
9,2023_11,0.3
9,2023_12,2.8
9,2024_01,11.2
9,2024_02,2.4
9,2024_03,8.5
9,2024_04,9.2
9,2024_05,9.9
9,2024_06,7.9
9,2024_07,5.3
9,2024_08,0.5
9,2024_09,3.7
9,2024_10,5.1
9,2024_11,4.1
127,2001_01,510.5
127,2001_02,601.0
127,2001_03,281.8
127,2001_04,7.7
127,2001_05,111.2
127,2001_06,556.6
127,2001_07,613.6
127,2001_08,458.9
127,2001_09,569.1
127,2001_10,465.1
127,2001_11,572.8
127,2001_12,576.3
127,2002_01,547.4
127,2002_02,582.2
127,2002_03,292.3
127,2002_04,401.9
127,2002_05,578.7
127,2002_06,599.2
127,2002_07,591.9
127,2002_08,564.9
127,2002_09,532.3
127,2002_10,566.5
127,2002_11,588.0
127,2002_12,577.8
127,2003_01,600.3
127,2003_02,585.1
127,2003_03,615.4
127,2003_04,582.3
127,2003_05,230.4
127,2003_06,608.0
127,2003_07,462.6
127,2003_08,625.9
127,2003_09,541.5
127,2003_10,538.1
127,2003_11,488.5
127,2003_12,408.9
127,2004_01,571.5
127,2004_02,611.6
127,2004_03,189.6
127,2004_04,590.7
127,2004_05,519.1
127,2004_06,574.0
127,2004_07,531.7
127,2004_08,584.9
127,2004_09,578.2
127,2004_10,575.7
127,2004_11,499.8
127,2004_12,577.6
127,2005_01,573.8
127,2005_02,492.8
127,2005_03,583.2
127,2005_04,373.0
127,2005_05,585.0
127,2005_06,496.7
127,2005_07,547.4
127,2005_08,577.2
127,2005_09,545.2
127,2005_10,22.3
127,2005_11,593.6
127,2005_12,563.9
127,2006_01,479.3
127,2006_02,348.9
127,2006_03,574.9
127,2006_04,372.7
127,2006_05,133.1
127,2006_06,314.5
127,2006_07,593.1
127,2006_08,485.4
127,2006_09,501.4
127,2006_10,471.0
127,2006_11,553.6
127,2006_12,590.7
127,2007_01,445.2
127,2007_02,415.7
127,2007_04,479.8
127,2007_05,610.0
127,2007_06,606.7
127,2007_07,623.3
127,2007_08,522.2
127,2007_09,503.3
127,2007_10,572.9
127,2007_11,503.7
127,2007_12,478.2
127,2008_01,590.2
127,2008_02,28.3
127,2008_03,526.1
127,2008_04,381.2
127,2008_05,414.7
127,2008_06,531.2
127,2008_07,594.0
127,2008_08,610.9
127,2008_09,523.8
127,2008_10,495.6
127,2008_11,478.7
127,2008_12,454.9
127,2009_01,415.2
127,2009_04,65.8
127,2009_05,314.5
127,2009_06,383.8
127,2009_07,476.3
127,2009_08,463.4
127,2009_09,393.6
127,2009_10,452.8
127,2009_11,284.9
127,2009_12,567.9
127,2010_01,451.0
127,2010_02,556.4
127,2010_03,429.8
127,2010_04,30.2
127,2010_05,248.8
127,2010_06,466.9
127,2010_07,550.4
127,2010_08,494.0
127,2010_09,534.7
127,2010_10,476.9
127,2010_11,299.7
127,2010_12,456.0
127,2011_01,474.5
127,2011_02,370.9
127,2011_03,419.9
127,2011_04,32.1
127,2011_05,471.3
127,2011_06,471.3
127,2011_07,590.1
127,2011_08,527.9
127,2011_09,514.0
127,2011_10,455.4
127,2011_11,97.9
127,2011_12,207.7
127,2012_01,107.1
127,2012_02,275.8
127,2012_03,325.3
127,2012_04,93.3
127,2012_05,306.7
127,2012_06,460.2
127,2012_07,489.5
127,2012_08,467.7
127,2012_09,395.2
127,2012_10,493.9
127,2012_11,367.0
127,2012_12,470.0
127,2013_01,479.3
127,2013_02,479.7
127,2013_03,318.4
127,2013_04,155.7
127,2013_05,558.2
127,2013_06,538.6
127,2013_07,552.6
127,2013_08,512.7
127,2013_09,418.2
127,2013_10,489.6
127,2013_11,386.1
127,2013_12,538.1
127,2014_01,473.0
127,2014_02,524.5
127,2014_03,1.4
127,2014_05,485.3
127,2014_06,568.1
127,2014_07,434.4
127,2014_08,476.6
127,2014_09,478.4
127,2014_10,374.7
127,2014_11,143.8
127,2014_12,452.5
127,2015_01,372.7
127,2015_02,363.8
127,2015_03,0.8
127,2015_05,328.4
127,2015_06,264.3
127,2015_07,254.7
127,2015_08,353.3
127,2015_09,272.4
127,2015_10,239.7
127,2015_11,231.5
127,2015_12,176.7
127,2016_01,132.5
127,2016_02,9.4
127,2016_03,166.5
127,2016_05,159.0
127,2016_06,454.9
127,2016_07,498.5
127,2016_08,529.5
127,2016_09,496.3
127,2016_10,483.6
127,2016_11,70.5
127,2016_12,381.3
127,2017_01,222.6
127,2017_02,44.7
127,2017_03,11.7
127,2017_05,186.2
127,2017_06,436.9
127,2017_07,370.6
127,2017_08,326.4
127,2017_09,226.0
127,2017_11,58.7
127,2017_12,387.4
127,2018_01,427.4
127,2018_02,406.5
127,2018_03,332.1
127,2018_04,227.7
127,2018_06,434.1
127,2018_07,494.2
127,2018_08,489.0
127,2018_09,491.3
127,2018_10,510.6
127,2018_11,203.5
127,2018_12,529.2
127,2019_01,462.7
127,2019_02,401.7
127,2019_03,366.3
127,2019_04,98.4
127,2019_05,404.9
127,2019_06,410.4
127,2019_07,431.4
127,2019_08,357.3
127,2019_09,402.0
127,2019_10,230.4
127,2020_05,103.4
127,2020_06,273.3
127,2020_07,355.1
127,2020_08,407.0
127,2020_09,365.1
298,2001_01,1031.2
298,2001_02,1271.3
298,2001_03,1273.2
298,2001_04,1200.2
298,2001_05,836.4
298,2001_06,1307.6
298,2001_07,1339.7
298,2001_08,1278.1
298,2001_09,1092.4
298,2001_10,688.9
298,2001_11,522.7
298,2001_12,639.0
298,2002_01,1127.5
298,2002_02,1172.1
298,2002_03,913.7
298,2002_04,1264.1
298,2002_05,1328.9
298,2002_06,1346.6
298,2002_07,1358.2
298,2002_08,1468.5
298,2002_09,1513.1
298,2002_10,1478.7
298,2002_11,1241.0
298,2002_12,1377.2
298,2003_01,1486.7
298,2003_02,780.4
298,2003_03,1141.8
298,2003_04,1147.8
298,2003_05,1501.6
298,2003_06,1223.2
298,2003_07,1565.1
298,2003_08,1551.0
298,2003_09,1575.3
298,2003_10,1569.5
298,2003_11,1356.0
298,2003_12,1576.3
298,2004_01,1580.7
298,2004_02,1150.4
298,2004_03,1336.6
298,2004_04,1528.1
298,2004_05,1509.6
298,2004_06,1580.9
298,2004_07,1433.4
298,2004_08,1456.0
298,2004_09,1592.2
298,2004_10,1581.7
298,2004_11,1445.7
298,2004_12,1572.5
298,2005_01,1602.6
298,2005_02,1312.6
298,2005_03,1508.2
298,2005_04,795.0
298,2005_05,1499.2
298,2005_06,1463.3
298,2005_07,1411.1
298,2005_08,1564.3
298,2005_09,1585.4
298,2005_10,1545.7
298,2005_11,1596.2
298,2005_12,1568.1
298,2006_01,1515.6
298,2006_02,803.2
298,2006_03,834.2
298,2006_04,1069.0
298,2006_05,1714.1
298,2006_06,1707.6
298,2006_07,1623.4
298,2006_08,1674.6
298,2006_09,1672.2
298,2006_10,1596.2
298,2006_11,1654.4
298,2006_12,1492.9
298,2007_01,1666.3
298,2007_02,1649.2
298,2007_03,1188.7
298,2007_04,1538.1
298,2007_05,1650.9
298,2007_06,1611.8
298,2007_07,1550.6
298,2007_08,1688.8
