plantid,plant_name,fuel,capacity_mw,latitude,longitude,county,owner,commission_period,retirement_year,avg_output_mw,co2_tons,ae_pct
10072,Engineered Carbons Borger Cogen,gas,20.0,35.66704,-101.432004,,Orion Engineered Carbons,1982_10,,6.9,,
10154,Power Island,gas,141.0,29.2293,-95.1952,,INEOS USA LLC,1985_11,,97.8,,
10167,Seadrift Coke LP,other,7.6,28.513929,-96.794154,,Seadrift Coke L P,1983_11,,2.4,,
10184,Central Utility Plant,gas,14.3,30.397351,-97.842586,,"Silicon Hills Campus, LLC",1988_07,,,,
10243,Ticona Polymers Inc,gas,44.2,27.5697,-97.8228,,Ticona Polymers Inc,1989_04,,29.6,,
10261,Enterprise Products Operating,gas,20.7,29.8247,-94.9197,,Enterprise Products Optg LP,1991_11,,17.2,,
10298,Bayou Cogen Plant,gas,318.4,29.6225,-95.0458,,Air Liquide Large Industries U S LP,2014_05,,213.2,,
10418,Ascend Performance Materials Texas Inc.,gas,52.1,29.2558,-95.2103,,Ascend Performance Materials,1993_06,,19.4,,
10425,"USG Paper, LLC - Orange Mill",biomass,48.0,30.2178,-93.7422,,USG Paper LLC,1967_11,,27.2,,
10436,ExxonMobil Baytown Refinery,gas,209.3,29.753517,-94.997277,,Exxon Mobil Refining and Supply Co.,1952_01,,138.7,,
10554,Formosa Utility Venture Ltd,gas,933.4,28.6917,-96.5417,,Formosa Plastics Corp,1987_03,,432.6,,
10568,Port Arthur Texas Refinery,gas,38.4,29.964938,-93.891283,,Total Petrochemicals USA Inc,1988_08,,26.3,,
10692,ExxonMobil Baytown Turbine,gas,381.8,29.759124,-95.009648,,Exxon Mobil Refining and Supply Co.,1989_02,,242.6,,
10789,Sabine River Operations,gas,594.9,30.0552,-93.7579,,The Dow Chemical Company,1987_03,,242.8,,
10790,Victoria Texas Plant,gas,102.4,28.675088,-96.956014,,Invista,1987_04,,50.4,,
298,Limestone,coal,1849.8,31.4219,-96.2525,,NRG Texas Power LLC,1985_12,,582.8,,
3437,Eagle Pass,hydro,9.6,28.829535,-100.552234,,Maverick Cty Water Control & Improvement,1932_08,,2.8,,
3439,Laredo,gas,263.6,27.5667,-99.5089,,City of San Antonio - (TX),2008_08,,5.4,,
3441,Nueces Bay,gas,730.2,27.819412,-97.419203,,City of San Antonio - (TX),1972_07,,133.3,,
3443,Victoria,gas,376.9,28.7883,-97.01,,"Victoria WLE, LP",1963_03,,140.0,,
3452,Lake Hubbard,gas,927.5,32.8358,-96.5458,,Luminant Generation Company LLC,1970_06,,148.0,,
3453,Mountain Creek,gas,852.2,32.7231,-96.9358,,"Mountain Creek Power, LLC",1956_02,,61.9,,
3456,Newman,gas,1109.8,31.983587,-106.431777,,El Paso Electric Co,1960_05,2027.0,322.1,,
3457,Lewis Creek,gas,542.8,30.4356,-95.5214,,Entergy Texas Inc.,1970_12,2034.0,180.1,,
3459,Sabine,gas,1811.8,30.0242,-93.878,,Entergy Texas Inc.,1962_01,2026.0,340.8,,
3460,Cedar Bayou,gas,1530.0,29.75,-94.9256,,NRG Texas Power LLC,1970_12,,227.3,,
3464,Greens Bayou,gas,432.0,29.822201,-95.219429,,NRG Texas Power LLC,1976_12,,7.4,,
3469,T H Wharton,gas,1189.9,29.9417,-95.5306,,NRG Texas Power LLC,1967_07,,72.0,,
3470,W A Parish,gas,4008.4,29.4828,-95.6311,,NRG Texas Power LLC,1958_06,,1173.4,,
3476,Knox Lee,gas,351.0,32.3766,-94.6415,,Southwestern Electric Power Co,1974_04,,45.5,,
3478,Wilkes,gas,882.0,32.848163,-94.547986,,Southwestern Electric Power Co,1964_05,,131.6,,
3482,Jones,gas,860.4,33.5239,-101.7392,,Southwestern Public Service Co,1971_01,2031.0,227.5,,
3484,Nichols,gas,474.7,35.283357,-101.746423,,Southwestern Public Service Co,1960_01,2027.0,167.8,,
3485,Plant X,gas,190.4,34.1661,-102.4114,,Southwestern Public Service Co,1964_01,2027.0,84.2,,
3490,Graham,gas,634.7,33.1344,-98.6117,,Luminant Generation Company LLC,1960_12,,125.1,,
3491,Handley,gas,1314.8,32.7283,-97.2192,,"Constellation Power, Inc",1963_07,,95.7,,
3492,Morgan Creek,oil,536.4,32.3358,-100.9156,,Luminant Generation Company LLC,1988_07,,5.5,,
3494,Permian Basin,gas,447.0,31.5839,-102.9633,,Luminant Generation Company LLC,1988_05,,46.2,,
3504,Stryker Creek,oil,713.4,31.93985,-94.989834,,Luminant Generation Company LLC,1958_06,,114.3,,
3507,Trinidad (TX),oil,243.3,32.124519,-96.101277,,Luminant Generation Company LLC,1965_05,,40.4,,
3548,Decker Creek,gas,206.0,30.3033,-97.6128,,Austin Energy,1988_09,,,450000.0,1.0
3559,Silas Ray,oil,142.5,25.9131,-97.5214,,Brownsville Public Utilities Board,1959_05,,13.0,,
3561,Bryan (TX),gas,22.0,30.64741,-96.372316,,City of Bryan - (TX),1975_05,,0.3,,
3576,Ray Olinger,gas,427.7,33.068055,-96.452481,,City of Garland - (TX),1967_07,,9.0,,
3581,Abbott TP 3,hydro,2.8,29.593951,-98.040734,,Guadalupe Blanco River Authority,1927_01,,0.1,,
3582,Dunlap TP 1,hydro,3.6,29.640187,-98.045934,,Guadalupe Blanco River Authority,1927_01,,0.3,,
3583,H 4,hydro,2.4,29.495193,-97.624948,,Guadalupe Blanco River Authority,1931_01,,,,
3584,H 5,hydro,2.4,29.4681,-97.4919,,Guadalupe Blanco River Authority,1931_01,,,,
3585,Nolte,hydro,2.4,29.537565,-97.932106,,Guadalupe Blanco River Authority,1927_01,,0.1,,
3586,TP 4,hydro,2.4,29.548136,-97.999587,,Guadalupe Blanco River Authority,1932_01,,,,
3594,Austin,hydro,18.0,30.293424,-97.784408,,Lower Colorado River Authority,1940_04,,0.5,,
3595,Buchanan Dam (TX),hydro,54.9,30.7507,-98.4176,,Lower Colorado River Authority,1938_01,,1.8,,
3597,Granite Shoals,hydro,54.0,30.556,-98.3384,,Lower Colorado River Authority,1951_06,,2.2,,
3598,Inks,hydro,15.0,30.731599,-98.385422,,Lower Colorado River Authority,1938_01,,1.0,,
3599,Marble Falls,hydro,39.6,30.555288,-98.257593,,Lower Colorado River Authority,1951_09,,1.4,,
3600,Marshall Ford,hydro,108.0,30.3899,-97.9073,,Lower Colorado River Authority,1941_01,,2.8,,
3601,Sim Gideon,gas,623.0,30.1456,-97.2708,,Lower Colorado River Authority,1965_05,,127.8,,
3609,Leon Creek,gas,229.6,29.3525,-98.5761,,City of San Antonio - (TX),2004_06,,25.7,,
3611,O W Sommers,gas,892.0,29.308056,-98.3242,,City of San Antonio - (TX),1972_04,2027.0,253.3,,
3612,V H Braunig,gas,1138.0,29.2567,-98.3825,,City of San Antonio - (TX),1966_03,,125.7,,
3628,R W Miller,gas,603.6,32.6581,-98.3103,,RW Miller Power LLC,1968_10,,52.1,,
3630,Pearsall,gas,201.6,28.9275,-99.0919,,"South Texas Electric Coop, Inc",2010_03,,41.4,,
3631,Sam Rayburn,gas,192.8,28.8947,-97.135,,"South Texas Electric Coop, Inc",1991_07,,29.0,,
4195,Powerlane Plant,gas,112.2,33.1707,-96.1264,,City of Greenville - (TX),1966_01,,6.3,,
4266,Spencer,gas,126.5,33.1975,-97.1061,,City of Garland - (TX),1966_06,,3.2,,
